Variable code,Description,Type,Frequency,Commodity classification,Commodity code,Flow direction,Reporter,Partner,Mode of transport,Partner 2,Customs code
N/A,Exports of nuclear reactors and related,goods,M,HS,84,Export,SVN,CHE,TOTAL modes of transport,World,C00
N/A,Exports of nuclear reactors and related,goods,M,HS,84,Export,SVN,SRB,TOTAL modes of transport,World,C00
N/A,Exports of nuclear reactors and related,goods,M,HS,84,Export,SVN,World,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,AUT,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,CZE,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,FRA,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,DEU,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,HRV,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,ITA,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,HUN,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,POL,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,CHE,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,SRB,TOTAL modes of transport,World,C00
N/A,Exports of electrical machinery,goods,M,HS,85,Export,SVN,World,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,AUT,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,CZE,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,FRA,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,DEU,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,HRV,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,ITA,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,HUN,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,POL,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,CHE,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,SRB,TOTAL modes of transport,World,C00
N/A,Exports of vehicles other than railway,goods,M,HS,87,Export,SVN,World,TOTAL modes of transport,World,C00
